at.no. red    green  blue   radius   shading 
1      1.0    1.0    1.0    1.2      'dull'
2      1.0    1.0    0.0    0.5      'dull'
3      0.4    0.4    0.4    0.6      'dull'
4      1.0    0.0    0.0    1.0      'dull'
5      1.0    0.0    0.0    1.0      'dull'
6      0.0    0.97   0.30   1.8      'dull'
7      0.0    0.0    1.0    1.5      'dull'
8      1.0    0.0    0.0    1.4      'dull'
9      0.5    1.0    0.0    1.35     'dull'
10     1.0    0.0    0.0    1.0      'dull'
11     1.0    0.57   0.0    0.95     'shiny'
12     0.69   0.69   0.69   0.65     'shiny'
13     1.0    0.0    0.0    1.0      'dull'
14     1.0    0.0    0.0    1.0      'dull'
15     0.19   0.41   1.0    1.9      'dull'
16     1.0    0.80   0.0    1.85     'dull'
17     0.0    0.47   0.0    1.80     'dull'
18     1.0    0.0    0.0    1.0      'dull'
19     0.6    0.0    0.1    1.33     'shiny'
20     0.9    0.4    1.0    0.97     'dull'
21     1.0    0.0    0.0    1.0      'dull'
22     1.0    0.0    0.0    1.0      'dull'
23     1.0    0.0    0.0    1.0      'dull'
24     1.0    0.0    0.0    1.0      'dull'
25     1.0    0.0    0.0    1.0      'dull'
26     0.6    0.2    0.0    0.76     'shiny'
27     1.0    0.0    0.0    1.0      'dull'
28     1.0    0.0    0.0    1.0      'dull'
29     0.0    0.5    0.2    0.96     'shiny'
30     1.0    0.0    0.0    1.0      'dull'
31     1.0    0.0    0.0    1.0      'dull'
32     1.0    0.0    0.0    1.0      'dull'
33     1.0    0.0    0.0    1.0      'dull'
34     1.0    0.0    0.0    1.0      'dull'
35     0.3    0.2    0.0    1.95     'dull'
36     1.0    0.0    0.0    1.0      'dull'
37     1.0    0.0    0.0    1.0      'dull'
38     1.0    0.0    0.0    1.0      'dull'
39     1.0    0.0    0.0    1.0      'dull'
40     1.0    0.0    0.0    1.0      'dull'
41     1.0    0.0    0.0    1.0      'dull'
42     1.0    0.0    0.0    1.0      'dull'
43     1.0    0.0    0.0    1.0      'dull'
44     1.0    0.0    0.0    1.0      'dull'
45     1.0    0.0    0.0    1.0      'dull'
46     1.0    0.0    0.0    1.0      'dull'
47     1.0    0.0    0.0    1.0      'dull'
48     1.0    0.0    0.0    1.0      'dull'
49     1.0    0.0    0.0    1.0      'dull'
50     1.0    0.0    0.0    1.0      'dull'
51     1.0    0.0    0.0    1.0      'dull'
52     1.0    0.0    0.0    1.0      'dull'
53     0.3    0.0    0.3    2.15     'dull'
54     1.0    0.0    0.0    1.0      'dull'
55     1.0    0.0    0.0    1.0      'dull'
56     1.0    0.0    0.0    1.0      'dull'
57     1.0    0.0    0.0    1.0      'dull'
58     1.0    0.0    0.0    1.0      'dull'
59     1.0    0.0    0.0    1.0      'dull'
60     1.0    0.0    0.0    1.0      'dull'
61     1.0    0.0    0.0    1.0      'dull'
62     1.0    0.0    0.0    1.0      'dull'
63     1.0    0.0    0.0    1.0      'dull'
64     1.0    0.0    0.0    1.0      'dull'
65     1.0    0.0    0.0    1.0      'dull'
66     1.0    0.0    0.0    1.0      'dull'
67     1.0    0.0    0.0    1.0      'dull'
68     1.0    0.0    0.0    1.0      'dull'
69     1.0    0.0    0.0    1.0      'dull'
70     1.0    0.0    0.0    1.0      'dull'
71     1.0    0.0    0.0    1.0      'dull'
72     1.0    0.0    0.0    1.0      'dull'
73     1.0    0.0    0.0    1.0      'dull'
74     1.0    0.0    0.0    1.0      'dull'
75     1.0    0.0    0.0    1.0      'dull'
76     1.0    0.0    0.0    1.0      'dull'
77     1.0    0.0    0.0    1.0      'dull'
78     1.0    0.0    0.0    1.0      'dull'
79     1.0    0.0    0.0    1.0      'dull'
80     1.0    0.0    0.0    1.0      'dull'
81     1.0    0.0    0.0    1.0      'dull'
82     1.0    0.0    0.0    1.0      'dull'
83     1.0    0.0    0.0    1.0      'dull'
84     1.0    0.0    0.0    1.0      'dull'
85     1.0    0.0    0.0    1.0      'dull'
86     1.0    0.0    0.0    1.0      'dull'
87     1.0    0.0    0.0    1.0      'dull'
88     1.0    0.0    0.0    1.0      'dull'
89     1.0    0.0    0.0    1.0      'dull'
90     1.0    0.0    0.0    1.0      'dull'
91     1.0    0.0    0.0    1.0      'dull'
92     1.0    0.0    0.0    1.0      'dull'
93     1.0    0.0    0.0    1.0      'dull'
94     1.0    0.0    0.0    1.0      'dull'
95     1.0    0.0    0.0    1.0      'dull'
96     1.0    0.0    0.0    1.0      'dull'
97     1.0    0.0    0.0    1.0      'dull'
98     1.0    0.0    0.0    1.0      'dull'
99     1.0    0.0    0.0    1.0      'dull'
100     1.0    0.0    0.0    1.0     'dull'
101     1.0    0.0    0.0    1.0     'dull'
102     1.0    0.0    0.0    1.0     'dull'
103     1.0    0.0    0.0    1.0     'dull'
104     1.0    0.0    0.0    1.0     'dull'
105     1.0    0.0    0.0    1.0     'dull'
106     1.0    0.0    0.0    1.0     'dull'
107     1.0    0.0    0.0    1.0     'dull'
108     1.0    0.0    0.0    1.0     'dull'
109     1.0    0.0    0.0    1.0     'dull'
110     1.0    0.0    0.0    1.0     'dull'
111     1.0    0.0    0.0    1.0     'dull'
112     1.0    0.0    0.0    1.0     'dull'
113     1.0    0.0    0.0    1.0     'dull'
114     1.0    0.0    0.0    1.0     'dull'
115     1.0    0.0    0.0    1.0     'dull'
116     1.0    0.0    0.0    1.0     'dull'
117     1.0    0.0    0.0    1.0     'dull'
118     1.0    0.0    0.0    1.0     'dull'
119     1.0    0.0    0.0    1.0     'dull'
120     1.0    0.0    0.0    1.0     'dull'
